symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_last_accumulated_quantity,order_trade_time,usd_size
SYRUP,SELL,LIMIT,IOC,293,0.4196200,0.4237600,FILLED,120,293,1756103262345,122.94866
EIGEN,SELL,LIMIT,IOC,1447.6,1.3290000,1.3409267,FILLED,144.5,1447.6,1756103265627,1923.8603999999998
ONT,BUY,LIMIT,IOC,107.1,0.1994,0.1964,FILLED,107.1,107.1,1756103266198,21.355739999999997
ETH,SELL,LIMIT,IOC,0.273,4655.60,4673.57,FILLED,0.129,0.273,1756103267153,1270.9788
ONT,BUY,LIMIT,IOC,1607.1,0.1996,0.1976,FILLED,1478.7,1607.1,1756103269218,320.77716
XNY,SELL,LIMIT,IOC,2856,0.0068420,0.0069340,FILLED,2856,2856,1756103269365,19.540752
CRV,SELL,LIMIT,IOC,97.3,0.867,0.872,FILLED,97.3,97.3,1756103269391,84.3591
ONT,BUY,LIMIT,IOC,48.3,0.2000,0.1975,FILLED,48.3,48.3,1756103270312,9.66
PUMP,BUY,LIMIT,IOC,50118,0.0028150,0.0027870,FILLED,42912,50118,1756103270406,141.08217
CRV,SELL,LIMIT,IOC,51.1,0.867,0.872,FILLED,51.1,51.1,1756103270825,44.3037
BID,BUY,LIMIT,IOC,9219,0.1029900,0.1015273,FILLED,1321,9219,1756103275457,949.4648099999999
ETH,SELL,LIMIT,IOC,0.106,4655.02,4673.34,FILLED,0.106,0.106,1756103280050,493.43212000000005
PHB,SELL,LIMIT,IOC,216,0.5936000,0.6017587,FILLED,89,216,1756103284391,128.2176
ONT,BUY,LIMIT,IOC,2644.1,0.2002,0.1971,FILLED,2644.1,2644.1,1756103290063,529.3488199999999
BIO,BUY,LIMIT,IOC,1682,0.2433800,0.2409600,FILLED,259,1682,1756103290063,409.36516
QTUM,BUY,LIMIT,IOC,45.4,3.268,3.221,FILLED,45.4,45.4,1756103290063,148.3672
ETH,BUY,LIMIT,IOC,0.105,4694.23,4675.77,FILLED,0.105,0.105,1756103290063,492.8941499999999
NEO,BUY,LIMIT,IOC,306.23,8.257,8.177,FILLED,10.52,306.23,1756103290500,2528.54111
UMA,SELL,LIMIT,IOC,16,1.426366,1.448000,FILLED,16,16,1756103295015,22.821856
A2Z,SELL,LIMIT,IOC,29860,0.0051660,0.0052175,FILLED,13196,29860,1756103303308,154.25675999999999
ONT,BUY,LIMIT,IOC,918.9,0.2005,0.1974,FILLED,918.9,918.9,1756103306494,184.23945
PROMPT,SELL,LIMIT,IOC,9409,0.3414000,0.3448319,FILLED,848,9409,1756103326804,3212.2326
USELESS,SELL,LIMIT,IOC,77,0.2462000,0.2497000,FILLED,77,77,1756103353462,18.9574
CRV,SELL,LIMIT,IOC,110.0,0.866,0.872,FILLED,42.8,110.0,1756103356595,95.26
PROMPT,SELL,LIMIT,IOC,401,0.3407000,0.3442000,FILLED,401,401,1756103358349,136.6207
CRV,SELL,LIMIT,IOC,97.1,0.866,0.871,FILLED,97.1,97.1,1756103370319,84.0886
CFX,SELL,LIMIT,IOC,5345,0.1856000,0.1870671,FILLED,318,5345,1756103372404,992.0319999999999
VINE,SELL,LIMIT,IOC,184,0.0685400,0.0692000,FILLED,184,184,1756103377371,12.611360000000001
UMA,SELL,LIMIT,IOC,1143,1.424000,1.446000,FILLED,538,1143,1756103385065,1627.6319999999998
CRV,SELL,LIMIT,IOC,110.8,0.865,0.871,FILLED,0.3,110.8,1756103387158,95.842
DIA,SELL,LIMIT,IOC,29,0.6602000,0.6704000,FILLED,29,29,1756103392323,19.1458
SHELL,SELL,LIMIT,IOC,136,0.1372000,0.1393000,FILLED,136,136,1756103393238,18.6592
VINE,SELL,LIMIT,IOC,82,0.0684700,0.0691200,FILLED,2,82,1756103406258,5.61454
AI16Z,SELL,LIMIT,IOC,15455.9,0.1183000,0.1201000,FILLED,4856.2,15455.9,1756103409282,1828.43297
STRK,SELL,LIMIT,IOC,13764.6,0.1356000,0.1370000,FILLED,13127.1,13764.6,1756103409282,1866.47976
FHE,SELL,LIMIT,IOC,9378,0.0594400,0.0602378,FILLED,2294,9378,1756103429453,557.42832
SHELL,SELL,LIMIT,IOC,9952,0.1370000,0.1390000,FILLED,720,9952,1756103429453,1363.4240000000002
ENS,SELL,LIMIT,IOC,4.5,25.034,25.284,FILLED,1.1,4.5,1756103432538,112.65299999999999
