Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,74.3,135872510.23,157265237.99,905716.73,35601.51,155.25,76.12,2.039,8.298,5.765,-26.93,-3.2,289 days 00:00:00,15 days 00:00:00,932,76.82,32.05,-49.54,1.879,33 days 00:00:00,2 days 00:00:00,2.515,0,4.057
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,92.95,1823862.45,2861095.29,12059.08,37008.56,64.95,69.06,0.941,2.5,0.985,-65.98,-2.1,776 days 11:00:00,6 days 09:00:00,3308,56.47,16.58,-100.07,0.0,31 days 21:00:00,0 days 23:00:00,1.24,0,1.939
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,83.29,306831295.86,320174714.1,2045441.97,34930.92,181.47,107.58,1.687,8.44,5.452,-33.29,-2.37,380 days 06:00:00,8 days 04:00:00,1717,68.32,21.0,-25.87,1.042,33 days 06:00:00,1 days 11:00:00,1.833,0,3.397
ETH-1d-5yrs-old,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,55.03,7691.97,16055.56,-48.72,1162.15,-12.36,10.97,-1.127,-1.238,-0.222,-55.58,-13.48,1710 days 00:00:00,362 days 00:00:00,579,63.73,3.98,-6.48,-0.339,30 days 00:00:00,1 days 00:00:00,0.814,0,-2.324
ETH-1d-5yrs-new,1850,2020-08-19 09:36:00.520000,2025-09-11 09:36:00.520000,1849 days 00:00:00,54.97,7691.97,16055.56,-48.72,1195.89,-12.35,10.97,-1.126,-1.237,-0.222,-55.58,-13.48,1712 days 00:00:00,362 days 00:00:00,579,63.73,3.98,-6.48,-0.339,30 days 00:00:00,1 days 00:00:00,0.814,0,-2.324
ETH-1h-7mo-old,4996,2025-02-15 07:36:33.606000,2025-09-11 09:36:33.606000,208 days 02:00:00,73.6,19285.53,20137.73,28.57,63.65,55.1,42.72,1.29,3.762,5.599,-9.84,-1.5,73 days 19:00:00,5 days 14:00:00,199,55.28,3.88,-6.14,0.163,11 days 02:00:00,0 days 18:00:00,1.185,0,1.385
ETH-1h-7mo-new,4996,2025-02-15 07:46:43.505000,2025-09-11 09:46:43.505000,208 days 02:00:00,73.6,19296.03,20137.73,28.64,63.78,55.24,42.77,1.292,3.772,5.614,-9.84,-1.5,73 days 19:00:00,5 days 14:00:00,199,55.28,3.88,-6.14,0.163,11 days 02:00:00,0 days 18:00:00,1.185,0,1.385
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,15000.0,15000.0,0.0,10.19,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,15000.0,15000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,15.84,15791.55,16009.85,5.28,69.77,20.42,8.92,2.29,6.761,11.253,-1.81,-1.0,29 days 00:00:00,15 days 00:00:00,15,60.0,3.86,-1.14,0.91,1 days 00:00:00,1 days 00:00:00,3.032,0,1.366
