Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,75.32,41205602840544.77,44808896309229.65,274704018836.97,31079.98,834.86,inf,0.0,38.247,26.577,-31.41,-3.35,162 days 00:00:00,11 days 00:00:00,1282,77.07,1984086.86,-49.23,2.447,22 days 00:00:00,2 days 00:00:00,1496.153,0,4.258
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,92.49,145599722.02,155250275.26,970564.81,36786.25,160.42,119.57,1.342,5.557,3.02,-53.12,-1.62,423 days 14:00:00,3 days 04:00:00,5474,60.92,14.89,-100.06,0.0,18 days 04:00:00,0 days 14:00:00,1.285,0,3.071
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,83.6,54236897139.59,54898658887.43,361579214.26,35862.33,382.76,184.27,2.077,18.435,15.348,-24.94,-2.08,244 days 06:00:00,4 days 20:00:00,2851,70.68,34.97,-16.99,0.923,18 days 18:00:00,0 days 19:00:00,1.975,0,5.416
ETH-1d-5yrs-old,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,24.73,2559.44,15000.0,-82.94,1007.62,-29.48,6.84,-4.309,-3.338,-0.354,-83.2,-83.2,1821 days 00:00:00,1821 days 00:00:00,419,42.96,2.37,-2.67,-0.854,5 days 00:00:00,1 days 00:00:00,0.419,0,-7.088
ETH-1d-5yrs-new,1850,2020-08-19 09:36:00.520000,2025-09-11 09:36:00.520000,1849 days 00:00:00,24.7,2559.44,15000.0,-82.94,1037.24,-29.45,6.84,-4.306,-3.336,-0.354,-83.2,-83.2,1823 days 00:00:00,1823 days 00:00:00,419,42.96,2.37,-2.67,-0.854,5 days 00:00:00,1 days 00:00:00,0.419,0,-7.088
ETH-1h-7mo-old,4996,2025-02-15 07:36:33.606000,2025-09-11 09:36:33.606000,208 days 02:00:00,73.74,13781.27,15431.43,-8.12,63.36,-13.76,21.87,-0.629,-0.768,-0.662,-20.77,-3.87,199 days 20:00:00,29 days 13:00:00,420,54.29,2.38,-2.68,-0.048,3 days 14:00:00,0 days 08:00:00,0.969,0,-0.504
ETH-1h-7mo-new,4996,2025-02-15 07:46:43.505000,2025-09-11 09:46:43.505000,208 days 02:00:00,73.74,13784.77,15431.43,-8.1,63.49,-13.72,21.88,-0.627,-0.766,-0.66,-20.77,-3.87,199 days 20:00:00,29 days 13:00:00,420,54.29,2.38,-2.68,-0.048,3 days 14:00:00,0 days 08:00:00,0.969,0,-0.504
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,15000.0,15000.0,0.0,15.02,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,15000.0,15000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,25.74,15248.25,15405.27,1.65,80.1,6.11,9.07,0.674,1.002,2.325,-2.63,-1.73,30 days 00:00:00,24 days 00:00:00,24,58.33,2.36,-2.64,0.174,1 days 00:00:00,1 days 00:00:00,1.227,0,0.377
