Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,49.37,155392422320.4,168980972693.42,1035949382.14,31079.98,426.62,inf,0.0,29.766,13.784,-30.95,-3.05,371 days 00:00:00,21 days 00:00:00,796,75.75,1984086.86,-17.12,2.813,22 days 00:00:00,2 days 00:00:00,2488.314,0,4.27
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,81.34,437457.44,483684.5,2816.38,36786.25,42.14,50.53,0.834,1.746,0.802,-52.56,-1.7,807 days 02:00:00,7 days 04:00:00,4266,55.23,14.89,-100.06,0.0,19 days 05:00:00,0 days 16:00:00,1.158,0,2.804
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,61.69,1832603744969.85,1889620784379.07,12217358199.8,35862.33,596.81,inf,0.0,32.814,22.293,-26.77,-2.2,348 days 12:00:00,8 days 16:00:00,1962,67.99,2023711.44,-16.99,1.376,16 days 06:00:00,0 days 21:00:00,1024.405,0,5.261
ETH-1d-5yrs-old,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,26.57,5028.6,15000.0,-66.48,1007.62,-19.42,6.96,-2.789,-2.612,-0.285,-68.06,-68.06,1818 days 00:00:00,1818 days 00:00:00,424,47.41,2.38,-2.82,-0.554,5 days 00:00:00,1 days 00:00:00,0.568,0,-5.705
ETH-1d-5yrs-new,1850,2020-08-19 09:36:00.520000,2025-09-11 09:36:00.520000,1849 days 00:00:00,26.54,5028.6,15000.0,-66.48,1037.24,-19.4,6.96,-2.787,-2.61,-0.285,-68.06,-68.06,1820 days 00:00:00,1820 days 00:00:00,424,47.41,2.38,-2.82,-0.554,5 days 00:00:00,1 days 00:00:00,0.568,0,-5.705
ETH-1h-7mo-old,4996,2025-02-15 07:36:33.606000,2025-09-11 09:36:33.606000,208 days 02:00:00,62.35,14353.63,15534.94,-4.31,63.36,-7.4,19.99,-0.37,-0.52,-0.384,-19.26,-2.45,199 days 20:00:00,20 days 16:00:00,339,51.33,2.42,-2.68,-0.038,3 days 14:00:00,0 days 09:00:00,0.98,0,-0.309
ETH-1h-7mo-new,4996,2025-02-15 07:46:43.505000,2025-09-11 09:46:43.505000,208 days 02:00:00,62.35,14357.13,15534.94,-4.29,63.49,-7.36,20.0,-0.368,-0.517,-0.382,-19.26,-2.45,199 days 20:00:00,20 days 16:00:00,339,51.33,2.42,-2.68,-0.038,3 days 14:00:00,0 days 09:00:00,0.98,0,-0.309
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,15000.0,15000.0,0.0,-4.23,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,15000.0,15000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,23.76,14962.31,15192.0,-0.25,80.1,-0.91,8.16,-0.111,-0.147,-0.274,-3.3,-2.63,59 days 00:00:00,36 days 00:00:00,22,54.55,2.36,-2.64,0.067,1 days 00:00:00,1 days 00:00:00,1.094,0,-0.06
