Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,38.97,3042621.57,3247469.86,20184.14,28505.51,72.7,40.51,1.795,5.024,2.047,-35.52,-3.2,566 days 00:00:00,25 days 00:00:00,590,71.86,31.49,-18.36,1.5,19 days 00:00:00,2 days 00:00:00,2.435,0,4.445
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,59.87,70683.13,75924.14,371.22,36173.96,17.54,40.94,0.428,0.679,0.274,-63.94,-2.3,1541 days 15:00:00,17 days 21:00:00,2755,51.32,14.89,-100.06,0.0,13 days 20:00:00,0 days 18:00:00,1.123,0,1.836
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,56.1,57593300.53,59613169.6,383855.34,36584.49,136.42,76.59,1.781,7.426,5.147,-26.5,-2.24,348 days 18:00:00,9 days 23:00:00,1598,62.02,34.97,-16.92,0.846,16 days 06:00:00,1 days 00:00:00,1.85,0,4.495
ETH-1d-5yrs-old,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,13.8,10476.2,15000.0,-30.16,977.03,-6.84,5.91,-1.159,-1.532,-0.19,-36.03,-36.03,1836 days 00:00:00,1836 days 00:00:00,226,32.74,2.38,-1.69,-0.35,3 days 00:00:00,1 days 00:00:00,0.699,0,-2.781
ETH-1d-5yrs-new,1850,2020-08-19 09:36:00.520000,2025-09-11 09:36:00.520000,1849 days 00:00:00,13.78,10476.2,15000.0,-30.16,1005.83,-6.84,5.9,-1.158,-1.531,-0.19,-36.03,-36.03,1838 days 00:00:00,1838 days 00:00:00,226,32.74,2.38,-1.69,-0.35,3 days 00:00:00,1 days 00:00:00,0.699,0,-2.781
ETH-1h-7mo-old,4996,2025-02-15 07:36:33.606000,2025-09-11 09:36:33.606000,208 days 02:00:00,51.26,14846.72,16099.68,-1.02,62.94,-1.78,24.09,-0.074,-0.115,-0.102,-17.49,-3.31,73 days 01:00:00,11 days 23:00:00,280,41.43,2.42,-1.67,-0.003,2 days 17:00:00,0 days 09:00:00,1.016,0,-0.105
ETH-1h-7mo-new,4996,2025-02-15 07:46:43.505000,2025-09-11 09:46:43.505000,208 days 02:00:00,51.26,14853.72,16099.68,-0.98,63.06,-1.7,24.12,-0.07,-0.109,-0.097,-17.49,-3.31,73 days 01:00:00,11 days 23:00:00,280,41.43,2.42,-1.67,-0.003,2 days 17:00:00,0 days 09:00:00,1.016,0,-0.105
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,8.7,15117.28,15204.08,0.78,15.02,13.16,6.92,1.901,5.658,23.044,-0.57,-0.57,16 days 00:00:00,16 days 00:00:00,2,50.0,2.41,-1.81,0.277,0 days 00:00:00,0 days 00:00:00,1.33,0,0.403
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,15000.0,15000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,15.84,15815.47,16050.33,5.44,69.2,21.08,9.64,2.186,5.295,13.424,-1.57,-1.08,29 days 00:00:00,11 days 00:00:00,16,56.25,2.36,-1.64,0.59,0 days 00:00:00,0 days 00:00:00,1.85,0,1.279
