Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,0.0,15000.0,15000.0,0.0,29372.87,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,0.0,15000.0,15000.0,0.0,36114.78,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,0.0,15000.0,15000.0,0.0,36241.72,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-1d-5yrs-old,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,0.0,15000.0,15000.0,0.0,953.28,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-1d-5yrs-new,1850,2020-08-19 09:36:00.520000,2025-09-11 09:36:00.520000,1849 days 00:00:00,0.0,15000.0,15000.0,0.0,981.44,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-1h-7mo-old,4996,2025-02-15 07:36:33.606000,2025-09-11 09:36:33.606000,208 days 02:00:00,0.0,15000.0,15000.0,0.0,61.66,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-1h-7mo-new,4996,2025-02-15 07:46:43.505000,2025-09-11 09:46:43.505000,208 days 02:00:00,0.0,15000.0,15000.0,0.0,61.79,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,15000.0,15000.0,0.0,62.44,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,15000.0,15000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,0.0,15000.0,15000.0,0.0,68.27,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
