Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,48.18,20211193.87,22464826.93,134641.29,35601.51,109.82,61.31,1.791,6.59,4.31,-25.48,-3.73,363 days 00:00:00,23 days 00:00:00,638,74.61,32.13,-19.02,1.653,25 days 00:00:00,2 days 00:00:00,2.555,0,3.863
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,29.58,15033.73,26667.3,0.22,37008.56,0.02,37.55,0.001,0.001,0.0,-81.48,-3.86,2970 days 01:00:00,62 days 10:00:00,1334,48.95,8.98,-100.06,0.0,31 days 03:00:00,0 days 18:00:00,1.139,0,0.002
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,63.18,149338718.7,151134945.25,995491.46,34930.92,161.11,104.84,1.537,7.171,3.464,-46.51,-2.97,501 days 12:00:00,11 days 16:00:00,1502,65.25,21.81,-22.61,0.845,31 days 12:00:00,1 days 06:00:00,1.769,0,4.24
ETH-1d-5yrs-old,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,28.84,6833.06,15450.32,-54.45,1162.15,-14.38,8.66,-1.66,-1.747,-0.247,-58.14,-30.49,1783 days 00:00:00,897 days 00:00:00,344,52.91,2.86,-5.18,-0.493,15 days 00:00:00,1 days 00:00:00,0.695,0,-3.277
ETH-1d-5yrs-new,1850,2020-08-19 09:36:00.520000,2025-09-11 09:36:00.520000,1849 days 00:00:00,28.81,6833.06,15450.32,-54.45,1195.89,-14.37,8.66,-1.659,-1.746,-0.247,-58.14,-30.49,1785 days 00:00:00,898 days 00:00:00,344,52.91,2.86,-5.18,-0.493,15 days 00:00:00,1 days 00:00:00,0.695,0,-3.277
ETH-1h-7mo-old,4996,2025-02-15 07:36:33.606000,2025-09-11 09:36:33.606000,208 days 02:00:00,64.81,16938.88,17624.52,12.93,63.65,23.65,34.14,0.693,1.469,1.765,-13.4,-2.86,72 days 10:00:00,10 days 07:00:00,209,52.15,2.88,-5.18,0.101,6 days 08:00:00,0 days 15:00:00,1.131,0,0.672
ETH-1h-7mo-new,4996,2025-02-15 07:46:43.505000,2025-09-11 09:46:43.505000,208 days 02:00:00,64.81,16949.38,17624.52,13.0,63.78,23.79,34.18,0.696,1.477,1.775,-13.4,-2.86,72 days 10:00:00,10 days 07:00:00,209,52.15,2.88,-5.18,0.101,6 days 08:00:00,0 days 15:00:00,1.131,0,0.672
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,15000.0,15000.0,0.0,-4.23,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,15000.0,15000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,15.84,15648.21,15866.51,4.32,69.77,16.52,8.49,1.947,4.781,7.011,-2.36,-1.32,29 days 00:00:00,20 days 00:00:00,15,60.0,2.86,-1.14,0.78,1 days 00:00:00,1 days 00:00:00,2.739,0,1.124
