Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,34.18,8110781.98,8470126.98,53971.88,29273.21,91.02,57.68,1.578,5.176,3.166,-28.75,-3.9,491 days 00:00:00,28 days 00:00:00,521,67.75,32.13,-14.99,1.522,20 days 00:00:00,2 days 00:00:00,2.524,0,4.04
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,41.55,26804.32,36395.97,78.7,36789.47,6.24,44.83,0.139,0.197,0.078,-80.15,-2.74,2977 days 08:00:00,38 days 09:00:00,2108,42.03,15.45,-100.06,0.0,13 days 19:00:00,0 days 16:00:00,1.08,0,0.391
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,48.12,162978480.79,166353400.55,1086423.21,36346.86,163.5,107.56,1.52,7.182,3.37,-48.51,-2.88,492 days 06:00:00,11 days 21:00:00,1386,56.35,21.81,-16.92,0.834,11 days 18:00:00,1 days 00:00:00,1.867,0,4.065
ETH-1d-5yrs-old,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,8.6,9403.24,15548.1,-37.31,876.4,-8.81,5.5,-1.602,-2.172,-0.22,-40.07,-20.48,1783 days 00:00:00,903 days 00:00:00,152,18.42,2.88,-1.19,-0.417,1 days 00:00:00,1 days 00:00:00,0.565,0,-3.468
ETH-1d-5yrs-new,1850,2020-08-19 09:36:00.520000,2025-09-11 09:36:00.520000,1849 days 00:00:00,8.59,9403.24,15548.1,-37.31,902.5,-8.8,5.5,-1.601,-2.17,-0.22,-40.07,-20.48,1785 days 00:00:00,904 days 00:00:00,152,18.42,2.88,-1.19,-0.417,1 days 00:00:00,1 days 00:00:00,0.565,0,-3.468
ETH-1h-7mo-old,4996,2025-02-15 07:36:33.606000,2025-09-11 09:36:33.606000,208 days 02:00:00,34.47,14256.41,15551.63,-4.96,63.98,-8.5,25.21,-0.337,-0.541,-0.564,-15.06,-3.97,153 days 00:00:00,23 days 00:00:00,215,27.91,2.88,-1.37,-0.042,2 days 17:00:00,0 days 08:00:00,0.968,0,-0.284
ETH-1h-7mo-new,4996,2025-02-15 07:46:43.505000,2025-09-11 09:46:43.505000,208 days 02:00:00,34.47,14263.41,15551.63,-4.91,64.11,-8.42,25.23,-0.334,-0.536,-0.559,-15.06,-3.97,153 days 00:00:00,23 days 00:00:00,215,27.91,2.88,-1.37,-0.042,2 days 17:00:00,0 days 08:00:00,0.968,0,-0.284
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,8.7,15120.44,15246.33,0.8,10.19,13.53,8.67,1.561,4.024,16.389,-0.83,-0.83,16 days 00:00:00,16 days 00:00:00,2,50.0,2.91,-1.32,0.777,0 days 00:00:00,0 days 00:00:00,2.214,0,0.324
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,15000.0,15000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,12.87,14754.65,15089.46,-1.64,73.86,-5.79,7.46,-0.776,-1.181,-1.728,-3.35,-2.43,63 days 00:00:00,40 days 00:00:00,12,25.0,2.86,-1.14,-0.155,1 days 00:00:00,1 days 00:00:00,0.836,0,-0.405
